Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,03/24/19,Bangalore,New Delhi,BLR ? DEL,22:20,22-03-21 1:10,2h 50m,1,No info,3897
SpiceJet,06/24/19,Kolkata,Bangalore,CCU ? BLR,9:00,11:25,2h 25m,1,No info,3873
IndiGo,04/18/19,Kolkata,Bangalore,CCU ? BLR,20:20,22:55,2h 35m,1,No info,4174
Air India,06/24/19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,4667
IndiGo,04/24/19,Kolkata,Bangalore,CCU ? BLR,17:15,19:50,2h 35m,1,No info,4804
IndiGo,04/03/19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,3943
IndiGo,05/01/19,Bangalore,New Delhi,BLR ? DEL,18:55,21:50,2h 55m,1,No info,4823
Vistara,06/18/19,Bangalore,New Delhi,BLR ? DEL,9:45,12:35,2h 50m,1,No info,4668
Vistara,06/15/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3687
Vistara,06/18/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3687
IndiGo,04/06/19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,4423
Air India,05/18/19,Kolkata,Bangalore,CCU ? BLR,14:15,16:45,2h 30m,1,No info,6245
Air Asia,05/06/19,Bangalore,New Delhi,BLR ? DEL,11:10,13:55,2h 45m,1,No info,3383
SpiceJet,03/24/19,Bangalore,New Delhi,BLR ? DEL,5:45,8:35,2h 50m,1,No check-in baggage included,3527
IndiGo,05/27/19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,3943
Air India,05/03/19,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,1,No info,4667
Jet Airways,03/09/19,New Delhi,Cochin,DEL ? COK,11:00,14:15,3h 15m,1,In-flight meal not included,7202
IndiGo,03/24/19,Bangalore,New Delhi,BLR ? DEL,22:20,28-03-21 1:10,2h 50m,1,No info,4377
IndiGo,06/18/19,Bangalore,New Delhi,BLR ? DEL,21:15,19-06-21 0:15,3h,1,No info,3943
Air Asia,04/03/19,Bangalore,New Delhi,BLR ? DEL,23:55,04/04/21 2:45,2h 50m,1,No info,4483
Vistara,03/06/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,7414
Vistara,05/24/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,3687
Vistara,04/24/19,Bangalore,New Delhi,BLR ? DEL,9:45,12:35,2h 50m,1,No info,5403
Air India,05/06/19,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,1,No info,3625
IndiGo,03/12/19,Chennai,Kolkata,MAA ? CCU,13:20,15:35,2h 15m,1,No info,6297
Jet Airways,06/01/19,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,1,No info,5678
Vistara,03/09/19,Bangalore,New Delhi,BLR ? DEL,9:50,12:35,2h 45m,1,No info,7240
GoAir,04/03/19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,3898
IndiGo,04/03/19,Mumbai,Hyderabad,BOM ? HYD,6:25,7:55,1h 30m,1,No info,4049
SpiceJet,03/21/19,Chennai,Kolkata,MAA ? CCU,8:20,10:35,2h 15m,1,No check-in baggage included,3332
Jet Airways,03/24/19,Bangalore,New Delhi,BLR ? DEL,19:55,22:35,2h 40m,1,No info,7229
Air India,04/21/19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,1,No info,4880
IndiGo,06/21/19,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,1,No info,3540
SpiceJet,05/15/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No check-in baggage included,3257
Jet Airways,06/03/19,Bangalore,New Delhi,BLR ? DEL,19:50,22:50,3h,1,In-flight meal not included,6478
Jet Airways,06/18/19,Mumbai,Hyderabad,BOM ? HYD,7:05,8:30,1h 25m,1,No info,8040
Air India,05/01/19,Bangalore,New Delhi,BLR ? DEL,6:10,8:55,2h 45m,1,No info,6121
IndiGo,04/12/19,Bangalore,New Delhi,BLR ? DEL,18:55,21:50,2h 55m,1,No info,5780
Vistara,06/12/19,Bangalore,New Delhi,BLR ? DEL,7:00,9:40,2h 40m,1,No info,4668
SpiceJet,04/09/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No info,3971
Air India,05/03/19,Mumbai,Hyderabad,BOM ? HYD,15:00,16:25,1h 25m,1,No info,3100
IndiGo,05/12/19,Chennai,Kolkata,MAA ? CCU,5:15,7:40,2h 25m,1,No info,3540
IndiGo,06/24/19,Bangalore,New Delhi,BLR ? DEL,4:00,6:50,2h 50m,1,No info,3943
IndiGo,06/03/19,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,1,No info,3597
Vistara,05/12/19,New Delhi,Cochin,DEL ? COK,14:40,17:50,3h 10m,1,No info,6216
IndiGo,06/15/19,Kolkata,Bangalore,CCU ? BLR,20:25,23:10,2h 45m,1,No info,4804
Jet Airways,05/24/19,Bangalore,New Delhi,BLR ? DEL,6:00,8:45,2h 45m,1,In-flight meal not included,4030
SpiceJet,04/03/19,Kolkata,Bangalore,CCU ? BLR,22:20,04/04/21 0:40,2h 20m,1,No info,3873
GoAir,06/27/19,Bangalore,New Delhi,BLR ? DEL,11:40,14:30,2h 50m,1,No info,3898
IndiGo,03/03/19,Bangalore,New Delhi,BLR ? DEL,18:55,21:45,2h 50m,1,No info,8855
IndiGo,03/24/19,Bangalore,New Delhi,BLR ? DEL,0:40,3:25,2h 45m,1,No info,4777
Air India,03/03/19,Mumbai,Hyderabad,BOM ? HYD,13:55,15:25,1h 30m,1,No info,6092
SpiceJet,05/21/19,Bangalore,New Delhi,BLR ? DEL,5:55,8:35,2h 40m,1,No info,3311
IndiGo,05/27/19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,1,No info,3419
Air India,04/18/19,New Delhi,Cochin,DEL ? COK,18:05,21:10,3h 5m,1,No info,8246
Jet Airways,03/27/19,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,1h 30m,1,No info,5678
IndiGo,05/12/19,Chennai,Kolkata,MAA ? CCU,14:45,17:05,2h 20m,1,No info,3858
IndiGo,06/03/19,Kolkata,Bangalore,CCU ? BLR,15:30,18:05,2h 35m,1,No info,4804
Air Asia,06/12/19,Bangalore,New Delhi,BLR ? DEL,11:10,13:55,2h 45m,1,No info,3383
Jet Airways,06/27/19,Bangalore,New Delhi,BLR ? DEL,18:55,22:00,3h 5m,1,No info,8016
SpiceJet,06/27/19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No check-in baggage included,3543
Air India,03/18/19,Bangalore,New Delhi,BLR ? DEL,13:20,16:10,2h 50m,1,No info,4441
Air India,06/03/19,Bangalore,New Delhi,BLR ? DEL,21:05,23:55,2h 50m,1,No info,6961
IndiGo,04/24/19,New Delhi,Cochin,DEL ? COK,5:35,8:50,3h 15m,1,No info,5013
Air India,05/18/19,New Delhi,Cochin,DEL ? COK,5:10,8:00,2h 50m,1,No info,6934
Jet Airways,04/18/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,No info,7229
Vistara,06/27/19,Bangalore,New Delhi,BLR ? DEL,17:00,19:35,2h 35m,1,No info,4878
IndiGo,05/12/19,Bangalore,New Delhi,BLR ? DEL,0:30,3:25,2h 55m,1,No info,3943
Jet Airways,06/24/19,Mumbai,Hyderabad,BOM ? HYD,8:45,10:15,1h 30m,1,In-flight meal not included,4995
IndiGo,06/01/19,Bangalore,New Delhi,BLR ? DEL,1:30,4:15,2h 45m,1,No info,4077
Jet Airways,05/12/19,Bangalore,New Delhi,BLR ? DEL,15:15,18:10,2h 55m,1,No info,7229
Air India,04/12/19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,5911
Jet Airways,03/18/19,Mumbai,Hyderabad,BOM ? HYD,7:10,8:35,1h 25m,1,In-flight meal not included,4995
IndiGo,04/27/19,Bangalore,New Delhi,BLR ? DEL,23:30,28-04-21 2:20,2h 50m,1,No info,3943
SpiceJet,05/21/19,Mumbai,Hyderabad,BOM ? HYD,5:45,7:15,1h 30m,1,No check-in baggage included,1965
Jet Airways,05/27/19,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,1h 30m,1,In-flight meal not included,4995
Air India,04/12/19,Kolkata,Bangalore,CCU ? BLR,20:45,23:20,2h 35m,1,No info,4460
Air Asia,05/01/19,Kolkata,Bangalore,CCU ? BLR,10:20,12:55,2h 35m,1,No info,4409
IndiGo,03/15/19,Bangalore,New Delhi,BLR ? DEL,18:25,21:20,2h 55m,1,No info,8855
SpiceJet,06/12/19,Chennai,Kolkata,MAA ? CCU,9:45,12:00,2h 15m,1,No check-in baggage included,3543
Vistara,03/18/19,Chennai,Kolkata,MAA ? CCU,7:05,9:20,2h 15m,1,No info,4842
IndiGo,04/24/19,Bangalore,New Delhi,BLR ? DEL,23:30,25-04-21 2:20,2h 50m,1,No info,3943
Vistara,06/27/19,Chennai,Kolkata,MAA ? CCU,17:45,20:05,2h 20m,1,No info,11982
Vistara,03/03/19,New Delhi,Cochin,DEL ? COK,6:00,9:10,3h 10m,1,No info,8001
SpiceJet,03/21/19,Mumbai,Hyderabad,BOM ? HYD,13:10,14:30,1h 20m,1,No info,3173
Air India,05/09/19,Bangalore,New Delhi,BLR ? DEL,10:00,12:45,2h 45m,1,No info,5228
